,location,size,total_sqft,bath,price
1675,Chikkalasandra,2,1070.0,2.0,45.48
1676,Chikkalasandra,2,1100.0,2.0,50.0
1679,Chikkalasandra,2,1224.0,2.0,45.0
1680,Chikkalasandra,2,1090.0,2.0,47.42
1683,Chikkalasandra,2,1325.0,2.0,59.0
1684,Chikkalasandra,2,1290.0,2.0,72.0
1687,Choodasandra,2,1115.0,2.0,50.0
1688,Choodasandra,2,1300.0,2.0,57.0
1689,Choodasandra,3,1530.0,3.0,77.0
1692,Choodasandra,2,1197.0,2.0,63.0
1693,Choodasandra,3,1465.0,3.0,75.0
1694,Choodasandra,2,1115.0,2.0,50.0
1695,Choodasandra,2,1215.0,2.0,59.0
1696,Choodasandra,3,1254.0,2.0,65.0
1697,Choodasandra,3,1580.0,3.0,105.0
1698,Choodasandra,2,725.0,2.0,36.0
1699,Choodasandra,4,2429.0,3.0,210.0
1701,Choodasandra,2,1075.0,2.0,45.0
1702,Choodasandra,2,1180.0,2.0,71.22
1703,Choodasandra,2,1140.0,2.0,62.0
1705,Choodasandra,3,1560.0,3.0,78.0
1706,Choodasandra,2,1065.0,2.0,46.0
1707,Choodasandra,2,1115.0,2.0,50.0
1709,Choodasandra,2,1115.0,2.0,50.0
1710,Cooke Town,4,3950.0,4.0,450.0
1711,Cooke Town,3,2388.0,4.0,239.0
1712,Cooke Town,2,1710.0,2.0,200.0
1713,Cooke Town,2,1310.0,2.0,111.0
1714,Cooke Town,4,3900.0,5.0,415.0
1715,Cooke Town,3,2560.0,4.0,310.0
1716,Cooke Town,3,2600.0,3.0,375.0
1717,Cooke Town,2,1100.0,2.0,90.0
1718,Cooke Town,3,2300.0,3.0,250.0
1719,Cox Town,3,1975.0,3.0,150.0
1720,Cox Town,3,1650.0,3.0,100.0
1721,Cox Town,3,1730.0,3.0,140.0
1722,Cox Town,3,1600.0,3.0,150.0
1723,Cox Town,2,1250.0,2.0,95.0
1724,Cox Town,2,1280.0,2.0,120.0
1725,Cox Town,2,1073.0,2.0,72.0
1726,Cox Town,2,1000.0,2.0,58.0
1727,Cox Town,2,1200.0,2.0,140.0
1728,Cunningham Road,4,5270.0,4.0,1250.0
1729,Cunningham Road,3,3875.0,3.0,864.0
1730,Cunningham Road,3,3875.0,3.0,800.0
1731,Cunningham Road,3,3815.0,3.0,763.0
1732,Cunningham Road,3,2880.0,3.0,501.0
1733,Cunningham Road,3,3489.0,3.0,662.0
1734,Cunningham Road,3,4170.0,3.0,800.0
1736,Cunningham Road,3,2700.0,3.0,501.0
1737,Cunningham Road,4,7500.0,6.0,1800.0
1738,Cunningham Road,3,2880.0,3.0,560.0
1739,Dairy Circle,3,1855.0,3.0,225.0
1740,Dairy Circle,3,1980.0,3.0,224.0
1741,Dairy Circle,4,3730.0,6.0,450.0
1742,Dairy Circle,4,3754.0,6.0,430.0
1743,Dairy Circle,4,3754.0,6.0,480.0
1744,Dairy Circle,2,1541.0,2.0,181.0
1745,Dairy Circle,3,2735.0,4.0,340.0
1746,Dairy Circle,4,3730.0,6.0,430.0
1747,Dasanapura,2,708.0,2.0,37.0
1748,Dasanapura,2,708.0,1.0,40.0
1749,Dasanapura,2,965.0,2.0,42.5
1751,Dasanapura,2,814.0,2.0,42.0
1752,Dasanapura,2,1163.0,2.0,65.0
1753,Dasanapura,3,1286.0,2.0,68.0
1754,Dasanapura,2,708.0,2.0,31.15
1755,Dasanapura,1,708.0,1.0,41.0
1756,Dasanapura,2,814.0,2.0,43.7
1757,Dasarahalli,2,1295.0,2.0,65.0
1759,Dasarahalli,2,1150.0,2.0,70.0
1760,Dasarahalli,3,2100.0,3.0,120.0
1761,Dasarahalli,2,1220.0,2.0,52.0
1762,Dasarahalli,2,1375.0,2.0,60.0
1763,Dasarahalli,2,1333.0,2.0,78.56
1764,Dasarahalli,2,1220.0,2.0,62.0
1765,Devanahalli,4,3210.0,2.0,192.0
1766,Devanahalli,2,1260.0,2.0,66.78
1767,Devanahalli,3,1282.0,2.0,68.52
1768,Devanahalli,2,1360.0,2.0,65.0
1770,Devanahalli,2,1408.0,2.0,85.0
1771,Devanahalli,2,1010.0,2.0,51.0
1772,Devanahalli,2,1080.0,2.0,53.35
1773,Devanahalli,5,2400.0,5.0,100.0
1776,Devanahalli,2,1174.0,2.0,59.0
1777,Devanahalli,2,3752.5,2.0,177.115
1778,Devanahalli,1,658.0,1.0,34.0
1779,Devanahalli,1,658.0,1.0,26.91
1780,Devanahalli,1,698.5,1.0,28.57
1781,Devanahalli,2,1080.0,2.0,52.0
1782,Devanahalli,3,1700.0,3.0,88.2
1783,Devanahalli,3,1498.0,3.0,79.15
1784,Devanahalli,3,1466.0,3.0,77.59
1785,Devanahalli,1,775.0,1.0,39.0
1786,Devanahalli,1,1020.0,2.0,49.87
1788,Devanahalli,3,1550.0,3.0,85.0
1790,Devanahalli,2,1340.0,2.0,65.0
1794,Devanahalli,1,658.0,1.0,26.91
1796,Devanahalli,2,1010.0,2.0,58.0
1799,Devanahalli,1,1075.0,2.0,52.57
1801,Devarachikkanahalli,2,1250.0,2.0,40.0
1802,Devarachikkanahalli,2,1200.0,2.0,83.0
1803,Devarachikkanahalli,2,1170.0,2.0,40.0
1804,Devarachikkanahalli,1,615.0,1.0,24.0
1805,Devarachikkanahalli,2,1230.0,2.0,58.0
1806,Devarachikkanahalli,3,1425.0,2.0,65.0
1807,Devarachikkanahalli,2,947.0,2.0,43.0
1808,Devarachikkanahalli,2,1130.0,2.0,36.0
1809,Devarachikkanahalli,3,1417.0,2.0,76.0
1810,Devarachikkanahalli,2,1230.0,2.0,58.0
1811,Devarachikkanahalli,3,1705.0,3.0,75.0
1812,Devarachikkanahalli,2,1116.0,2.0,47.0
1813,Devarachikkanahalli,2,991.0,2.0,40.0
1815,Dodda Nekkundi,2,1260.0,2.0,55.0
1816,Dodda Nekkundi,2,850.0,2.0,28.0
1817,Dodda Nekkundi,2,1390.0,2.0,60.0
1818,Dodda Nekkundi,3,1804.0,3.0,121.0
1819,Dodda Nekkundi,2,1080.0,2.0,50.0
1820,Dodda Nekkundi,3,1999.0,3.0,132.0
1821,Dodda Nekkundi,2,1100.0,2.0,48.0
1822,Dodda Nekkundi,3,1999.0,3.0,135.0
1823,Dodda Nekkundi,2,1100.0,2.0,41.15
1824,Dodda Nekkundi,3,1252.0,2.0,71.0
1825,Dodda Nekkundi,2,1155.0,2.0,46.0
1826,Dodda Nekkundi,2,1128.0,2.0,45.0
1827,Dodda Nekkundi,2,1148.0,2.0,56.0
1829,Dodda Nekkundi,2,1145.0,2.0,46.5
1830,Dodda Nekkundi,3,1829.0,3.0,125.0
1831,Dodda Nekkundi,2,1100.0,2.0,41.16
1832,Dodda Nekkundi,2,1100.0,2.0,46.75
1833,Dodda Nekkundi,2,1315.0,2.0,50.0
1834,Dodda Nekkundi,2,1135.0,2.0,58.0
1835,Dodda Nekkundi,2,1100.0,2.0,41.18
1836,Dodda Nekkundi,2,1370.0,2.0,60.0
1837,Dodda Nekkundi,2,1200.0,2.0,71.0
1838,Dodda Nekkundi,3,1585.0,2.0,79.0
1839,Dodda Nekkundi,2,1005.0,2.0,45.0
1840,Dodda Nekkundi,2,1264.0,2.0,52.0
1841,Doddaballapur,4,1690.0,3.0,80.0
1842,Doddaballapur,4,4200.0,4.0,325.0
1843,Doddaballapur,3,3876.0,3.0,300.0
1844,Doddaballapur,3,2776.0,4.0,195.0
1845,Doddaballapur,3,2440.0,3.0,142.0
1846,Doddaballapur,4,2400.0,3.0,200.0
1847,Doddaballapur,1,654.0,1.0,49.0
1848,Doddaballapur,4,3206.0,5.0,270.0
1849,Doddakallasandra,2,1010.0,2.0,40.39
1854,Doddakallasandra,2,1010.0,2.0,40.39
1855,Doddakallasandra,2,1072.0,2.0,42.87
1856,Doddakallasandra,2,1010.0,2.0,40.4
1857,Doddakallasandra,2,1010.0,2.0,41.0
1858,Doddakallasandra,2,1072.0,2.0,42.87
1859,Doddathoguru,2,970.0,2.0,33.0
1860,Doddathoguru,2,1050.0,2.0,32.0
1861,Doddathoguru,2,850.0,2.0,25.0
1862,Doddathoguru,2,1030.0,2.0,42.0
1863,Doddathoguru,3,1549.0,3.0,65.0
1865,Doddathoguru,1,550.0,1.0,17.0
1866,Doddathoguru,2,1015.0,2.0,33.5
1867,Doddathoguru,2,1104.0,2.0,39.0
1868,Doddathoguru,2,915.0,2.0,32.0
1869,Doddathoguru,1,750.0,1.0,25.5
1870,Doddathoguru,3,1595.0,3.0,62.0
1871,Doddathoguru,2,855.0,2.0,32.0
1872,Doddathoguru,2,1105.0,2.0,50.0
1873,Doddathoguru,2,925.0,2.0,30.0
1875,Doddathoguru,3,1208.0,3.0,45.0
1876,Doddathoguru,2,1100.0,2.0,50.0
1877,Doddathoguru,2,940.0,2.0,32.9
1878,Doddathoguru,3,1382.0,3.0,65.0
1879,Doddathoguru,2,1107.0,2.0,44.0
1880,Doddathoguru,2,907.0,2.0,40.0
1881,Doddathoguru,3,1783.0,3.0,85.0
1882,Doddathoguru,1,550.0,1.0,17.0
1883,Dodsworth Layout,4,30000.0,4.0,2100.0
1884,Dodsworth Layout,2,1400.0,2.0,80.0
1885,Dodsworth Layout,3,1717.0,3.0,99.0
1886,Dodsworth Layout,3,1594.0,3.0,99.0
1887,Dodsworth Layout,3,1893.0,3.0,115.0
1888,Dodsworth Layout,2,1400.0,2.0,85.0
1889,Dodsworth Layout,6,30400.0,4.0,1824.0
1890,Domlur,3,1540.0,3.0,90.0
1891,Domlur,3,1875.0,2.0,150.0
1892,Domlur,3,1429.0,3.0,86.0
1893,Domlur,1,640.0,1.0,55.0
1894,Domlur,2,1050.0,2.0,85.0
1895,Domlur,3,1800.0,3.0,150.0
1896,Domlur,3,1720.0,3.0,135.0
1897,Domlur,3,1950.0,3.0,165.0
1898,Domlur,3,2180.0,3.0,285.0
1899,Domlur,1,650.0,1.0,70.0
1900,Domlur,1,780.0,1.0,70.0
1901,Domlur,3,2180.0,3.0,285.0
1902,Domlur,3,1740.0,3.0,120.0
1903,Domlur,3,1695.0,3.0,125.0
1904,Domlur,2,1246.0,2.0,95.0
1905,Domlur,3,2100.0,3.0,145.0
1906,Domlur,2,1276.0,2.0,80.0
1907,Domlur,3,1850.0,3.0,180.0
1908,Domlur,3,2955.0,3.0,235.0
1909,Domlur,3,1650.0,3.0,180.0
1910,Dommasandra,2,805.0,2.0,22.14
1912,Dommasandra,3,1267.0,3.0,56.0
1913,Dommasandra,2,1200.0,2.0,50.0
1914,Dommasandra,4,2700.0,3.0,68.0
1916,Dommasandra,2,1153.0,2.0,43.5
1917,Dommasandra,2,1500.0,2.0,40.0
1918,Dommasandra,2,1090.0,2.0,43.5
1919,Dommasandra,2,850.0,2.0,25.4
1920,Dommasandra,2,674.0,1.0,19.9
1921,Dommasandra,2,999.0,2.0,32.9
1922,EPIP Zone,3,1499.0,5.0,102.0
1923,EPIP Zone,2,1285.0,2.0,82.0
1924,EPIP Zone,3,2330.0,3.0,162.0
1925,EPIP Zone,2,1330.0,2.0,92.5
1926,EPIP Zone,2,1330.0,2.0,86.98
1927,EPIP Zone,2,1330.0,2.0,93.36
1929,EPIP Zone,3,1500.0,3.0,102.0
1930,EPIP Zone,2,1280.0,2.0,69.0
1931,EPIP Zone,2,1125.0,2.0,65.0
1932,EPIP Zone,3,1734.0,3.0,125.0
1934,EPIP Zone,2,1343.0,2.0,86.0
1935,EPIP Zone,3,2350.0,4.0,163.0
1936,EPIP Zone,3,1860.0,3.0,130.0
1937,EPIP Zone,3,2210.0,3.0,165.0
1938,EPIP Zone,3,2710.0,3.0,177.0
1945,Electronic City,2,1060.0,2.0,60.0
1946,Electronic City,2,1152.0,2.0,64.5
1948,Electronic City,2,770.0,1.0,36.0
1949,Electronic City,2,1070.0,2.0,52.0
1950,Electronic City,2,1025.0,2.0,46.0
1951,Electronic City,1,589.0,1.0,27.0
1953,Electronic City,2,910.0,2.0,40.0
1954,Electronic City,2,1108.0,2.0,63.0
1955,Electronic City,2,1128.0,2.0,65.0
1956,Electronic City,3,1800.0,3.0,95.0
1957,Electronic City,1,630.0,1.0,34.65
1958,Electronic City,2,1128.0,2.0,63.0
1959,Electronic City,3,1599.0,3.0,99.0
1962,Electronic City,2,1070.0,2.0,55.0
1963,Electronic City,2,940.0,2.0,41.0
1965,Electronic City,2,1128.0,2.0,68.75
1966,Electronic City,2,1342.0,2.0,73.3
1969,Electronic City,2,1265.0,2.0,56.93
1970,Electronic City,3,1691.0,2.0,102.0
1971,Electronic City,2,1128.0,2.0,65.49
1974,Electronic City,2,1070.0,2.0,56.1
1975,Electronic City,4,2000.0,4.0,120.0
1976,Electronic City,2,890.0,2.0,45.0
1977,Electronic City,2,1128.0,2.0,65.65
1978,Electronic City,2,865.0,2.0,42.0
1980,Electronic City,2,910.0,2.0,42.0
1982,Electronic City,3,1360.0,2.0,75.0
1983,Electronic City,2,770.0,1.0,40.0
1984,Electronic City,2,1128.0,2.0,64.0
1985,Electronic City,2,1070.0,2.0,54.0
1987,Electronic City,3,1571.0,3.0,89.0
1989,Electronic City,2,870.0,2.0,39.5
1993,Electronic City,2,1128.0,2.0,65.35
1994,Electronic City,2,1128.0,2.0,65.0
1995,Electronic City,2,755.0,1.0,34.0
1999,Electronic City,3,1563.0,3.0,91.84
2002,Electronic City,2,1025.0,2.0,54.5
2009,Electronic City,2,1128.0,2.0,68.0
2010,Electronic City,1,700.0,1.0,35.0
2013,Electronic City,3,1571.0,3.0,105.0
2017,Electronic City,3,1600.0,3.0,104.0
2019,Electronic City,3,1500.0,2.0,100.0
2023,Electronic City,2,1152.0,2.0,65.0
2024,Electronic City,2,1070.0,2.0,60.0
2025,Electronic City,2,1128.0,2.0,65.5
2026,Electronic City,2,1200.0,2.0,59.0
2027,Electronic City,2,1152.0,2.0,65.75
2029,Electronic City,2,1070.0,2.0,55.0
2030,Electronic City,2,1060.0,2.0,58.0
2031,Electronic City,2,1025.0,2.0,54.1
2037,Electronic City,2,1213.0,2.0,59.32
2038,Electronic City,3,1575.0,3.0,90.0
2039,Electronic City,1,435.0,1.0,19.5
2040,Electronic City,3,1449.0,3.0,100.0
2042,Electronic City,2,1125.0,2.0,58.0
2044,Electronic City,3,1575.0,3.0,101.0
2046,Electronic City,1,550.0,1.0,12.0
2047,Electronic City,2,919.0,2.0,40.0
2049,Electronic City,2,1363.0,2.0,79.0
2052,Electronic City,2,1108.0,2.0,67.15
2054,Electronic City,2,1128.0,2.0,65.7
2056,Electronic City,2,1060.0,2.0,51.0
2058,Electronic City,3,1650.0,3.0,100.0
2060,Electronic City,2,1025.0,2.0,49.0
2062,Electronic City,3,1449.0,3.0,90.0
2064,Electronic City,2,1070.0,2.0,58.0
2065,Electronic City,2,1210.0,2.0,54.0
2068,Electronic City,2,1070.0,2.0,52.0
2074,Electronic City,2,1073.0,2.0,60.0
2076,Electronic City,2,1070.0,2.0,47.0
2077,Electronic City,2,1296.0,2.0,65.0
2078,Electronic City,2,1140.0,2.0,70.93
2085,Electronic City,2,1025.0,2.0,53.9
2086,Electronic City,2,940.0,2.0,54.0
2087,Electronic City,1,435.0,1.0,21.0
2090,Electronic City,2,1355.0,2.0,67.0
2093,Electronic City,1,435.0,1.0,22.0
2095,Electronic City,2,1039.0,2.0,50.0
2096,Electronic City,2,770.0,1.0,39.9
2098,Electronic City,2,1128.0,2.0,64.0
2099,Electronic City,1,605.0,1.0,13.31
2101,Electronic City,1,530.0,1.0,13.5
2102,Electronic City,2,1070.0,2.0,53.0
2105,Electronic City,3,1571.0,3.0,83.0
2108,Electronic City,3,1652.0,3.0,110.0
2112,Electronic City,2,1128.0,2.0,65.58
2113,Electronic City,1,635.0,1.0,28.0
2114,Electronic City,2,1128.0,2.0,65.4
2117,Electronic City,2,1355.0,2.0,72.9
2121,Electronic City,2,770.0,1.0,35.0
2123,Electronic City,2,865.0,2.0,40.0
2126,Electronic City,2,1108.0,2.0,63.0
2127,Electronic City,1,630.0,1.0,40.5
2130,Electronic City,1,605.0,1.0,22.0
2132,Electronic City,2,1070.0,2.0,48.0
2135,Electronic City,1,635.0,1.0,28.0
2136,Electronic City,2,1128.0,2.0,65.45
2137,Electronic City,2,890.0,2.0,40.0
2145,Electronic City,1,630.0,1.0,33.7
2149,Electronic City,3,1400.0,3.0,90.0
2151,Electronic City,2,1258.0,2.0,85.5
2152,Electronic City,2,1386.0,2.0,85.0
2153,Electronic City,1,550.0,1.0,27.0
2154,Electronic City,2,1025.0,2.0,50.0
2156,Electronic City,2,1070.0,2.0,55.0
2157,Electronic City,2,1342.0,2.0,72.0
2158,Electronic City,3,1275.0,3.0,70.0
2159,Electronic City,2,770.0,1.0,38.0
2164,Electronic City,3,1644.0,3.0,92.59
2165,Electronic City,2,1250.0,2.0,62.0
2168,Electronic City,1,418.0,1.0,12.0
2169,Electronic City,2,1128.0,2.0,64.8
2172,Electronic City,2,1060.0,2.0,55.0
2173,Electronic City,1,710.0,1.0,40.42
2178,Electronic City,1,1090.0,2.0,31.48
2181,Electronic City,2,1060.0,2.0,55.0
2183,Electronic City,2,1353.0,2.0,75.0
2185,Electronic City,2,1128.0,2.0,67.0
2186,Electronic City,2,1070.0,2.0,57.0
2187,Electronic City,3,1700.0,3.0,90.0
2189,Electronic City,1,750.0,1.0,35.0
2190,Electronic City,2,1210.0,2.0,55.0
2191,Electronic City,2,1070.0,2.0,60.0
2196,Electronic City,3,1615.0,3.0,97.0
2198,Electronic City,2,1221.0,2.0,68.0
2201,Electronic City,2,995.0,2.0,48.0
2202,Electronic City,2,1342.0,2.0,90.0
2204,Electronic City,2,1128.0,2.0,63.5
2205,Electronic City,1,589.0,1.0,29.0
2208,Electronic City,3,1575.0,3.0,94.5
2209,Electronic City,2,1070.0,2.0,48.0
2210,Electronic City,2,1025.0,2.0,54.0
2214,Electronic City,4,2093.0,4.0,134.0
2216,Electronic City,2,1355.0,2.0,73.0
2218,Electronic City,2,1060.0,2.0,52.0
2219,Electronic City Phase II,2,1056.0,2.0,39.07
2220,Electronic City Phase II,2,1020.0,2.0,30.6
2221,Electronic City Phase II,2,1069.0,2.0,45.0
2222,Electronic City Phase II,1,630.0,1.0,28.35
2224,Electronic City Phase II,2,1000.0,2.0,25.0
2225,Electronic City Phase II,2,1090.0,2.0,28.34
2228,Electronic City Phase II,2,775.0,2.0,38.0
2229,Electronic City Phase II,2,1266.0,2.0,59.0
2230,Electronic City Phase II,2,1000.0,2.0,28.88
2233,Electronic City Phase II,2,972.0,2.0,44.0
2235,Electronic City Phase II,2,1031.0,2.0,55.0
2236,Electronic City Phase II,2,1003.0,2.0,40.6
2237,Electronic City Phase II,2,1031.0,2.0,56.35
2239,Electronic City Phase II,3,1395.0,2.0,62.78
2240,Electronic City Phase II,2,1160.0,2.0,33.5
2241,Electronic City Phase II,2,1065.0,2.0,30.75
2242,Electronic City Phase II,2,1219.0,2.0,61.25
2244,Electronic City Phase II,2,1000.0,2.0,28.88
2245,Electronic City Phase II,3,1790.0,3.0,100.0
2246,Electronic City Phase II,2,769.0,2.0,40.0
2248,Electronic City Phase II,2,900.0,2.0,32.5
2251,Electronic City Phase II,3,993.0,2.0,50.0
2252,Electronic City Phase II,3,1418.0,3.0,52.47
2253,Electronic City Phase II,2,1070.0,2.0,45.0
2256,Electronic City Phase II,2,1140.0,2.0,33.06
2257,Electronic City Phase II,2,1089.0,2.0,32.67
2258,Electronic City Phase II,2,1031.0,2.0,55.0
2259,Electronic City Phase II,2,1253.0,2.0,65.8
2261,Electronic City Phase II,2,1160.0,2.0,33.5
2262,Electronic City Phase II,3,975.0,2.0,45.0
2264,Electronic City Phase II,2,1116.0,2.0,37.0
2265,Electronic City Phase II,2,1125.0,2.0,29.25
2266,Electronic City Phase II,2,1000.0,2.0,28.88
2267,Electronic City Phase II,2,1000.0,2.0,28.88
2268,Electronic City Phase II,2,1000.0,2.0,28.88
2269,Electronic City Phase II,2,1165.0,2.0,30.29
2271,Electronic City Phase II,2,1031.0,2.0,53.0
2273,Electronic City Phase II,2,1065.0,2.0,30.88
2275,Electronic City Phase II,3,1549.0,3.0,80.0
2276,Electronic City Phase II,2,1065.0,2.0,56.13
2278,Electronic City Phase II,2,920.0,2.0,26.0
2279,Electronic City Phase II,2,1140.0,2.0,33.84
2280,Electronic City Phase II,2,1219.0,2.0,61.26
2281,Electronic City Phase II,3,1252.0,2.0,65.0
2282,Electronic City Phase II,2,1125.0,2.0,32.49
2284,Electronic City Phase II,2,1286.0,2.0,69.0
2286,Electronic City Phase II,2,1140.0,2.0,32.92
2287,Electronic City Phase II,2,1116.0,2.0,40.0
2288,Electronic City Phase II,3,1150.0,3.0,46.0
2289,Electronic City Phase II,3,1192.0,2.0,47.0
2291,Electronic City Phase II,2,1020.0,2.0,32.0
2292,Electronic City Phase II,4,1900.0,3.0,97.0
2293,Electronic City Phase II,2,1020.0,2.0,27.43
2294,Electronic City Phase II,2,1025.0,2.0,26.65
2295,Electronic City Phase II,2,1020.0,2.0,29.45
2296,Electronic City Phase II,2,1000.0,2.0,28.88
2298,Electronic City Phase II,2,1140.0,2.0,28.5
2299,Electronic City Phase II,2,1125.0,2.0,32.49
2300,Electronic City Phase II,2,1200.0,2.0,34.65
2301,Electronic City Phase II,2,1160.0,2.0,52.2
2302,Electronic City Phase II,2,1244.0,2.0,55.0
2303,Electronic City Phase II,2,1160.0,2.0,33.51
2306,Electronic City Phase II,2,972.0,2.0,40.0
2307,Electronic City Phase II,2,1160.0,2.0,33.51
2309,Electronic City Phase II,2,1090.0,2.0,31.48
2310,Electronic City Phase II,2,1140.0,2.0,32.92
2311,Electronic City Phase II,1,650.0,1.0,35.0
2312,Electronic City Phase II,2,1155.0,2.0,57.0
2313,Electronic City Phase II,3,1800.0,3.0,92.0
2314,Electronic City Phase II,2,1300.0,2.0,28.0
2315,Electronic City Phase II,2,1160.0,2.0,33.5
2316,Electronic City Phase II,2,1025.0,2.0,29.6
2317,Electronic City Phase II,2,829.0,2.0,22.8
2318,Electronic City Phase II,4,2187.5,4.0,105.0
2319,Electronic City Phase II,2,1252.0,2.0,67.0
2321,Electronic City Phase II,2,1125.0,2.0,32.63
2322,Electronic City Phase II,2,1140.0,2.0,34.0
2325,Electronic City Phase II,3,1252.0,2.0,65.0
2326,Electronic City Phase II,2,1135.0,2.0,46.0
2327,Electronic City Phase II,3,1305.0,3.0,65.0
2328,Electronic City Phase II,2,1165.0,2.0,33.64
2330,Electronic City Phase II,3,1336.0,2.0,50.35
2331,Electronic City Phase II,1,575.0,1.0,16.75
2332,Electronic City Phase II,3,925.0,2.0,49.82
2333,Electronic City Phase II,2,1065.0,2.0,30.76
2334,Electronic City Phase II,2,1065.0,2.0,30.75
2335,Electronic City Phase II,2,1140.0,2.0,33.06
2336,Electronic City Phase II,2,911.0,2.0,26.5
2337,Electronic City Phase II,2,1200.0,2.0,34.65
2338,Electronic City Phase II,2,1031.0,2.0,54.48
2342,Electronics City Phase 1,3,1475.0,3.0,78.29
2343,Electronics City Phase 1,3,1490.0,3.0,78.8
2344,Electronics City Phase 1,2,1113.27,2.0,53.0
2345,Electronics City Phase 1,3,1490.0,3.0,84.0
2352,Electronics City Phase 1,2,1015.0,2.0,56.0
2354,Electronics City Phase 1,3,1515.0,2.0,80.91
2355,Electronics City Phase 1,2,995.0,2.0,46.0
2356,Electronics City Phase 1,3,1555.0,2.0,82.0
2357,Electronics City Phase 1,2,1340.0,2.0,75.0
2359,Electronics City Phase 1,2,1175.0,2.0,57.0
2360,Electronics City Phase 1,1,755.0,1.0,42.41
2361,Electronics City Phase 1,1,580.0,1.0,27.0
2362,Electronics City Phase 1,2,940.0,2.0,49.0
2363,Electronics City Phase 1,2,1335.0,2.0,67.0
2364,Electronics City Phase 1,2,1113.12,2.0,55.0
2366,Electronics City Phase 1,3,1350.0,3.0,71.0
2368,Electronics City Phase 1,2,995.0,2.0,49.8
2369,Electronics City Phase 1,1,635.0,1.0,26.0
2370,Electronics City Phase 1,2,1190.0,2.0,68.0
2373,Electronics City Phase 1,1,360.0,1.0,16.9
2374,Electronics City Phase 1,1,638.0,1.0,32.0
2375,Electronics City Phase 1,2,1175.0,2.0,64.98
2376,Electronics City Phase 1,1,585.0,1.0,21.0
2377,Electronics City Phase 1,2,1200.0,2.0,59.76
2378,Electronics City Phase 1,2,1145.0,2.0,54.0
2379,Electronics City Phase 1,2,1125.0,2.0,65.0
2381,Electronics City Phase 1,3,1550.0,2.0,82.0
2383,Electronics City Phase 1,2,865.0,2.0,40.0
2387,Electronics City Phase 1,3,1800.0,3.0,93.0
2388,Electronics City Phase 1,2,1314.0,2.0,60.0
2389,Electronics City Phase 1,2,1170.0,2.0,62.0
2390,Electronics City Phase 1,3,1450.0,3.0,79.0
2391,Electronics City Phase 1,2,940.0,2.0,48.0
2392,Electronics City Phase 1,2,940.0,2.0,44.0
2393,Electronics City Phase 1,2,1300.0,2.0,67.0
2394,Electronics City Phase 1,2,1028.0,2.0,51.0
2396,Electronics City Phase 1,2,1205.0,2.0,60.0
2398,Electronics City Phase 1,2,1305.0,2.0,67.0
2399,Electronics City Phase 1,1,755.0,1.0,30.12
2400,Electronics City Phase 1,2,1175.0,2.0,60.0
2401,Frazer Town,3,1700.0,3.0,180.0
2402,Frazer Town,3,1305.0,3.0,95.45
2403,Frazer Town,3,1870.0,3.0,185.0
2404,Frazer Town,3,1750.0,3.0,150.0
2406,Frazer Town,3,2000.0,3.0,200.0
2407,Frazer Town,3,3500.0,4.0,330.0
2408,Frazer Town,3,2350.0,4.0,285.0
2409,Frazer Town,2,1550.0,2.0,140.0
2410,Frazer Town,3,1900.0,4.0,145.0
2411,Frazer Town,3,2560.0,3.0,265.0
2412,Frazer Town,3,2400.0,3.0,260.0
2413,Frazer Town,3,2560.0,3.0,288.0
2414,Frazer Town,4,3436.0,5.0,341.0
2416,Frazer Town,2,1315.0,2.0,140.0
2417,Frazer Town,3,1706.0,3.0,154.0
2418,Frazer Town,3,2079.0,3.0,220.0
2419,Frazer Town,4,3435.0,2.0,341.0
2420,Frazer Town,4,3436.0,5.0,345.0
2421,Frazer Town,3,3100.0,3.0,400.0
2422,Frazer Town,3,5400.0,3.0,400.0
2423,Frazer Town,2,1180.0,2.0,105.0
2424,Frazer Town,4,2900.0,4.0,325.0
2425,Frazer Town,3,1870.0,3.0,180.0
2426,Frazer Town,1,896.0,1.0,100.0
2427,Frazer Town,2,1420.0,2.0,120.0
2428,GM Palaya,3,1820.0,2.0,86.0
2429,GM Palaya,2,1225.0,2.0,47.0
2430,GM Palaya,2,1140.0,2.0,48.95
2431,GM Palaya,3,1315.0,2.0,65.0
2432,GM Palaya,3,1315.0,3.0,65.0
2433,GM Palaya,3,1315.0,3.0,64.0
2434,GM Palaya,3,1735.0,3.0,70.0
2435,GM Palaya,3,1643.0,2.0,70.0
2436,Ganga Nagar,1,600.0,1.0,38.0
2437,Ganga Nagar,2,845.0,2.0,55.0
2438,Ganga Nagar,2,1112.0,2.0,68.0
2439,Ganga Nagar,2,998.0,2.0,65.0
2440,Ganga Nagar,2,1250.0,2.0,65.0
2441,Garudachar Palya,3,1325.0,2.0,60.8
2442,Garudachar Palya,2,1060.0,2.0,48.7
2443,Garudachar Palya,2,1150.0,2.0,52.75
2444,Garudachar Palya,3,1295.0,2.0,59.5
2445,Garudachar Palya,3,1320.0,2.0,60.6
2446,Garudachar Palya,3,1295.0,2.0,59.5
2447,Garudachar Palya,2,1150.0,2.0,52.8
2448,Garudachar Palya,2,1150.0,2.0,52.8
2449,Garudachar Palya,2,1060.0,2.0,48.5
2450,Garudachar Palya,2,1150.0,2.0,52.5
2451,Garudachar Palya,3,1325.0,2.0,60.8
2452,Garudachar Palya,2,1060.0,2.0,48.66
